,id,title,ingredients,NER,NER_mapped,NER_product_nl,NER_amount_used,NER_recipe_total_price
2307,2315,Scalloped Noodles With Chicken,"['709.764 ml cooked noodles', '709.764 ml cooked chicken, diced', '113.398 grams mushrooms, sliced', '2.46446 ml salt', 'dash of pepper', '29.5736 ml margarine, melted', '236.588 ml chicken broth hot', '118.294 ml buttered bread crumbs']","[""noodles"", ""chicken"", ""mushrooms"", ""salt"", ""pepper"", ""margarine"", ""chicken broth"", ""buttered bread crumbs""]","['noodles', 'chicken', 'mushrooms', 'salt', 'pepper', 'margarine', 'broth', 'bread']","['AH Woknoedels', 'AH Bapao kip', 'AH Witte champignons', 'AH Doperwten 0% zout', 'AH Rode peper', 'Becel Light margarine', 'AH Rundvleesbouillon', 'AH Flatbread']","[709.764, 709.764, 113.398, 246.446, 100.0, 29.5736, 236.588, 118.294]",11.44423131388863
2308,2316,Pound Cake,"['2.0 sticks butter', '709.764 ml sugar', '709.764 ml flour', '6.0 whole eggs', '1.0 box whipping cream', '4.92892 ml vanilla extract', '4.92892 ml almonds']","[""butter"", ""sugar"", ""flour"", ""eggs"", ""whipping cream"", ""vanilla extract"", ""almonds""]","['butter', 'sugar', 'flour', 'eggs', 'cream', 'extract', 'almonds']","['AH Kruidenboter', 'AH Rietsuiker', 'AH Tarwe bloem', 'AH Rondeel eieren M L', 'AH Roomijsjes', 'Marmite Yeast extract', 'AH Amandelen gezouten']","[200.0, 709.764, 709.764, 600.0, 100.0, 492.892, 492.892]",24.275082008361906
2310,2318,Southern Corn Bread,"['473.176 ml white lily self-rising corn meal', '1.25 to 354.882 ml milk', '59.147 ml vegetable oil', '1.0 large egg, lightly beaten', '1.0 or 29.5736 ml sugar optional']","[""meal"", ""milk"", ""vegetable oil"", ""egg"", ""sugar""]","['meal', 'milk', 'oil', 'egg', 'sugar']","['Brinta Havermout', 'AH Karnemelk', 'AH Slaolie', 'AH Lasagne ei', 'AH Rietsuiker']","[473.176, 125.0, 59.147, 100.0, 100.0]",5.573235833333333
2318,2326,Blueberry Streusel Pie,"['473.176 ml flour', '59.147 ml sugar', '118.294 ml margarine', '118.294 ml milk', '1.0 egg, beaten']","[""flour"", ""sugar"", ""margarine"", ""milk"", ""egg""]","['flour', 'sugar', 'margarine', 'milk', 'egg']","['AH Tarwe bloem', 'AH Rietsuiker', 'Becel Light margarine', 'AH Karnemelk', 'AH Lasagne ei']","[473.176, 59.147, 118.294, 118.294, 100.0]",1.8835291023999998
2320,2328,Artichoke Cheese Quiche,"['24.0 soda crackers, crushed', '2.0 jars marinated artichoke hearts, drained and chopped', '3.0 or 4.0 green onions, minced', '236.588 ml grated cheddar cheese', '236.588 ml grated jack cheese', '3.0 eggs', '78.86266666666666 ml milk']","[""crackers"", ""hearts"", ""green onions"", ""Cheddar cheese"", ""cheese"", ""eggs"", ""milk""]","['crackers', 'hearts', 'onion', 'cheese', 'cheese', 'eggs', 'milk']","['AH Soja crackers', 'AH Love hearts', 'AH Rode uien', 'AH Leverkaas', 'AH Leverkaas', 'AH Rondeel eieren M L', 'AH Karnemelk']","[2400.0, 200.0, 300.0, 236.588, 236.588, 300.0, 78.86266666666666]",41.27460634285715
2323,2331,Potato Pancakes,"['946.352 ml mashed potatoes', '29.5736 ml flour', '2.0 eggs, lightly beaten', '14.7868 ml baking powder', 'pinch of salt', '236.588 ml milk']","[""potatoes"", ""flour"", ""eggs"", ""baking powder"", ""salt"", ""milk""]","['potatoes', 'flour', 'eggs', 'baking powder', 'salt', 'milk']","['AH Stamppot aardappelen', 'AH Tarwe bloem', 'AH Rondeel eieren M L', 'Smaakt Wijnsteenbakpoeder', 'AH Doperwten 0% zout', 'AH Karnemelk']","[946.352, 29.5736, 200.0, 1478.6799999999998, 100.0, 236.588]",40.37380011421423
2325,2333,Sweet Potato Pie,"['3.0 cups cooked mashed sweet potatoes', '1.3333333333333333 cup sweet milk', '1.3333333333333333 cup sugar', '7.39338 ml vanilla', '2.46446 ml salt', '0.6666666666666666 cup self rising flour', '1.0 egg', '73.934 ml melted margarine', '4.92892 ml cinnamon']","[""potatoes"", ""sweet milk"", ""sugar"", ""vanilla"", ""salt"", ""flour"", ""egg"", ""margarine"", ""cinnamon""]","['potatoes', 'milk', 'sugar', 'vanilla', 'salt', 'flour', 'egg', 'margarine', 'cinnamon']","['AH Stamppot aardappelen', 'AH Karnemelk', 'AH Rietsuiker', 'AH Muffin vanille', 'AH Doperwten 0% zout', 'AH Tarwe bloem', 'AH Lasagne ei', 'Becel Light margarine', 'Bolletje Kanelly']","[300.0, 133.33333333333331, 133.33333333333331, 739.338, 246.446, 66.66666666666666, 100.0, 73.934, 492.892]",14.606980224420676
2327,2335,Broccoli Casserole,"['2.0 pkg. frozen broccoli 295.735 ml', '236.588 ml grated cheddar cheese', '1.0 can cream of mushroom soup', '177.441 ml mayonnaise', 'salt and pepper to taste', '29.5736 ml grated onion optional', 'ritz crackers, crushed']","[""frozen broccoli"", ""Cheddar cheese"", ""cream of mushroom soup"", ""mayonnaise"", ""salt"", ""onion"", ""crackers""]","['broccoli', 'cheese', 'mushroom soup', 'mayonnaise', 'salt', 'onion', 'crackers']","['AH Aspergebroccoli', 'AH Leverkaas', 'Unox Champignonsoep', 'AH Pesto mayonaise', 'AH Doperwten 0% zout', 'AH Rode uien', 'AH Soja crackers']","[200.0, 236.588, 100.0, 177.441, 100.0, 29.5736, 100.0]",10.98382856615213
2328,2336,Egg Rolls,"['0.5 head cabbage', '2.0 large carrots', '1.0 onion', '473.176 ml meat hamburger, shredded pork, chicken, shrimp', '29.5736 ml soy sauce', 'egg roll skins']","[""cabbage"", ""carrots"", ""onion"", ""meat"", ""soy sauce"", ""egg roll""]","['cabbage', 'carrots', 'onion', 'meat', 'soy sauce', 'roll']","['AH Chinese kool', 'AH Geschilde bospeen', 'AH Rode uien', 'AH Pekelvlees', 'ABC Sweet soy sauce', 'AH Saucijzenbroodje']","[50.0, 200.0, 100.0, 473.176, 29.5736, 100.0]",16.053295442424243
2330,2338,Nut Cookies,"['113.398 grams butter', '118.294 ml brown sugar', '118.294 ml white sugar', '118.294 ml flour', '1.0 egg', '226.796 grams pecans, chopped']","[""butter"", ""brown sugar"", ""white sugar"", ""flour"", ""egg"", ""pecans""]","['butter', 'sugar', 'sugar', 'flour', 'egg', 'pecans']","['AH Kruidenboter', 'AH Rietsuiker', 'AH Rietsuiker', 'AH Tarwe bloem', 'AH Lasagne ei', 'AH Ongebrande pecannoten']","[113.398, 118.294, 118.294, 118.294, 100.0, 226.796]",7.4335289505999995
2331,2339,Black Cake,"['473.176 ml flour', '473.176 ml sugar', '177.441 ml cocoa', '147.868 ml oil', '9.85784 ml vanilla', '2.0 eggs', '9.85784 ml baking soda in 473.176 ml water']","[""flour"", ""sugar"", ""cocoa"", ""oil"", ""vanilla"", ""eggs"", ""baking soda""]","['flour', 'sugar', 'cocoa', 'oil', 'vanilla', 'eggs', 'baking soda']","['AH Tarwe bloem', 'AH Rietsuiker', 'Oatly! Haverdrank cacao', 'AH Slaolie', 'AH Muffin vanille', 'AH Rondeel eieren M L', 'Dr. Oetker Baksoda']","[473.176, 473.176, 177.441, 147.868, 985.784, 200.0, 985.784]",19.036490466209525
2336,2344,Peanut Butter Fingers,"['118.294 ml butter or margarine', '118.294 ml sugar', '118.294 ml brown sugar', '1.0 egg', '78.86266666666666 ml peanut butter', '236.588 ml flour', '2.46446 ml baking soda', '1.23223 ml salt', '236.588 ml oatmeal', '236.588 ml chocolate chips', '59.147 ml peanut butter', '118.294 ml powdered sugar', '14.78676 ml milk']","[""butter"", ""sugar"", ""brown sugar"", ""egg"", ""peanut butter"", ""flour"", ""baking soda"", ""salt"", ""oatmeal"", ""chocolate chips"", ""peanut butter"", ""powdered sugar"", ""milk""]","['butter', 'sugar', 'sugar', 'egg', 'butter', 'flour', 'baking soda', 'salt', 'oatmeal', 'chip', 'butter', 'sugar', 'milk']","['AH Kruidenboter', 'AH Rietsuiker', 'AH Rietsuiker', 'AH Lasagne ei', 'AH Kruidenboter', 'AH Tarwe bloem', 'Dr. Oetker Baksoda', 'AH Doperwten 0% zout', 'AH Volkoren havermout', 'AH Oven friet', 'AH Kruidenboter', 'AH Rietsuiker', 'AH Karnemelk']","[118.294, 118.294, 118.294, 100.0, 78.86266666666666, 236.588, 246.446, 123.223, 236.588, 236.588, 59.147, 118.294, 1478.676]",9.415251478258824
2338,2346,Sour Cream Chicken Enchiladas,"['2.0 cans cream of chicken soup undiluted', '1.0 can chopped green chilies', '1.0 bunch chopped green onions', '236.588 ml sour cream', '113.398 grams sharp cheddar cheese, grated', '10.0 to 12.0 count pkg. flour tortillas', '1.0 whole chicken, boned and cut up']","[""cream of chicken soup"", ""green chilies"", ""green onions"", ""sour cream"", ""Cheddar cheese"", ""flour tortillas"", ""chicken""]","['chicken soup', 'chili', 'onion', 'cream', 'cheese', 'tortilla', 'chicken']","['AH Romige kippensoep', 'AH Garnalen in chili olie', 'AH Rode uien', 'AH Roomijsjes', 'AH Leverkaas', 'AH Spaanse tortilla', 'AH Bapao kip']","[200.0, 100.0, 100.0, 236.588, 113.398, 1000.0, 100.0]",25.083870411904762
2342,2350,Orange Slice Cake,"['828.058 ml plain flour', '2.46446 ml soda', '453.592 grams orange slice candy, cut up', '236.588 ml pitted dates, chopped', '473.176 ml walnuts or pecans', '236.588 ml butter or margarine', '473.176 ml sugar', '125.687375 ml can coconut', '4.0 eggs', '4.92892 ml soda', '118.294 ml buttermilk']","[""flour"", ""soda"", ""orange slice candy"", ""dates"", ""walnuts"", ""butter"", ""sugar"", ""coconut"", ""eggs"", ""soda"", ""buttermilk""]","['flour', 'soda', 'slice', 'dates', 'walnuts', 'butter', 'sugar', 'coconut', 'eggs', 'soda', 'buttermilk']","['AH Tarwe bloem', 'Driehoek Vloeibare soda', 'AH Cake gesneden', 'AH Medjoul dadels', 'AH Ongebrande walnoten', 'AH Kruidenboter', 'AH Rietsuiker', 'AH Kokos op te kloppen', 'AH Rondeel eieren M L', 'Driehoek Vloeibare soda', 'Arla Biologisch karnemelk']","[828.058, 246.446, 453.592, 236.588, 473.176, 236.588, 473.176, 125.687375, 400.0, 492.892, 118.294]",30.944455258400094
2343,2351,Coffee Can Bread,"['118.294 ml warm water', '14.7868 ml sugar', '0.616115 ml ginger', '1.0 pkg. yeast', '1.0 large can evaporated milk', '29.5736 ml sugar', '29.5736 ml oil', '4.92892 ml salt', '4.0 to 1064.646 ml flour']","[""warm water"", ""sugar"", ""ginger"", ""yeast"", ""milk"", ""sugar"", ""oil"", ""salt"", ""flour""]","['water', 'sugar', 'ginger', 'yeast', 'milk', 'sugar', 'oil', 'salt', 'flour']","['AH Kokoswater', 'AH Rietsuiker', 'AH Gemberkoek', 'Il Molino Droge gist', 'AH Karnemelk', 'AH Rietsuiker', 'AH Slaolie', 'AH Doperwten 0% zout', 'AH Tarwe bloem']","[118.294, 1478.6799999999998, 61.6115, 100.0, 100.0, 29.5736, 29.5736, 492.892, 400.0]",10.560283297064785
2344,2352,Swirl Of Chocolate Cheesecake Triangles,"['473.176 ml graham cracker crumbs', '118.294 ml 1.0 stick butter or margarine, melted', '78.86266666666666 ml granulated sugar']","[""graham cracker crumbs"", ""butter"", ""sugar""]","['cracker', 'butter', 'sugar']","['AH Notenkraker', 'AH Kruidenboter', 'AH Rietsuiker']","[473.176, 118.294, 78.86266666666666]",20.656498279999997
2346,2354,Mom'S Pear Relish,"['1.0 peck pears ground', '6.0 large onions ground', '4.0 hot peppers', '4.92892 ml each: cinnamon, cloves and allspice', '473.176 ml vinegar', '236.588 ml water', '19.71568 ml salt', '354.882 ml sugar']","[""peck pears"", ""onions"", ""hot peppers"", ""cinnamon"", ""vinegar"", ""water"", ""salt"", ""sugar""]","['pear', 'onions', 'pepper', 'cinnamon', 'vinegar', 'water', 'salt', 'sugar']","['Malibu Pear', 'AH Rode uien', 'AH Rode peper', 'Bolletje Kanelly', 'AH Natuurazijn wit', 'AH Kokoswater', 'AH Doperwten 0% zout', 'AH Rietsuiker']","[100.0, 600.0, 400.0, 492.892, 473.176, 236.588, 1971.568, 354.882]",22.971699432941172
2347,2355,Potato Soup With Rivels,"['4.0 to 6.0 medium-sized potatoes, scrub clean', '2.0 to 59.1472 ml butter', '118.294 ml flour', '236.588 ml cream or more if you like rich broth', 'water enough to cover potatoes plus 2.0 inches or less', 'salt to taste or diet needs', '1.0 egg']","[""potatoes"", ""butter"", ""flour"", ""cream"", ""water"", ""salt"", ""egg""]","['potatoes', 'butter', 'flour', 'cream', 'water', 'salt', 'egg']","['AH Stamppot aardappelen', 'AH Kruidenboter', 'AH Tarwe bloem', 'AH Roomijsjes', 'AH Kokoswater', 'AH Doperwten 0% zout', 'AH Lasagne ei']","[400.0, 200.0, 118.294, 236.588, 100.0, 100.0, 100.0]",7.173281505698039
2353,2361,Scalloped Corn,"['236.588 ml creamed corn', '236.588 ml whole kernel corn', '1.0 pkg. saltine crackers', '1.0 egg', 'dash of salt', 'dash of pepper', '59.147 ml milk', 'butter']","[""corn"", ""whole kernel corn"", ""saltine crackers"", ""egg"", ""salt"", ""pepper"", ""milk"", ""butter""]","['corn', 'corn', 'cracker', 'egg', 'salt', 'pepper', 'milk', 'butter']","['AH Popcorn Zout', 'AH Popcorn Zout', 'AH Notenkraker', 'AH Lasagne ei', 'AH Doperwten 0% zout', 'AH Rode peper', 'AH Karnemelk', 'AH Kruidenboter']","[236.588, 236.588, 100.0, 100.0, 100.0, 100.0, 59.147, 100.0]",11.593427311764707
2356,2364,Popcorn Balls,"['236.588 ml sugar', '78.86266666666666 ml water', '78.86266666666666 ml light corn syrup', '4.92892 ml salt', '59.147 ml butter', '1656.116 ml popped corn', '4.92892 ml vanilla']","[""sugar"", ""water"", ""light corn syrup"", ""salt"", ""butter"", ""corn"", ""vanilla""]","['sugar', 'water', 'corn', 'salt', 'butter', 'corn', 'vanilla']","['AH Rietsuiker', 'AH Kokoswater', 'AH Popcorn Zout', 'AH Doperwten 0% zout', 'AH Kruidenboter', 'AH Popcorn Zout', 'AH Muffin vanille']","[236.588, 78.86266666666666, 78.86266666666666, 492.892, 59.147, 1656.116, 492.892]",25.34105546156863
2357,2365,Chocolate Brownies,"['1.0 stick butter', '59.147 ml sq. baking chocolate', '236.588 ml sugar', '2.0 eggs', '4.92892 ml vanilla', '118.294 ml chopped nuts optional', '177.441 ml flour, sifted', '2.46446 ml baking powder', '2.46446 ml salt']","[""butter"", ""baking chocolate"", ""sugar"", ""eggs"", ""vanilla"", ""nuts"", ""flour"", ""baking powder"", ""salt""]","['butter', 'chocolate', 'sugar', 'eggs', 'vanilla', 'nuts', 'flour', 'baking powder', 'salt']","['AH Kruidenboter', 'AH Hot choco', 'AH Rietsuiker', 'AH Rondeel eieren M L', 'AH Muffin vanille', 'AH Walnoten', 'AH Tarwe bloem', 'Smaakt Wijnsteenbakpoeder', 'AH Doperwten 0% zout']","[100.0, 59.147, 236.588, 200.0, 492.892, 118.294, 177.441, 246.446, 246.446]",17.666991152993837
2358,2366,Wacky Cake,"['709.764 ml all-purpose flour', '473.176 ml sugar', '118.294 ml cocoa', '9.85784 ml baking soda', '4.92892 ml salt', '9.85784 ml vinegar', '9.85784 ml vanilla', '157.7253333333333 ml vegetable oil', '473.176 ml cold water']","[""all-purpose"", ""sugar"", ""cocoa"", ""baking soda"", ""salt"", ""vinegar"", ""vanilla"", ""vegetable oil"", ""cold water""]","['all-purpose', 'sugar', 'cocoa', 'baking soda', 'salt', 'vinegar', 'vanilla', 'oil', 'water']","['AH Allesreiniger oceaan', 'AH Rietsuiker', 'Oatly! Haverdrank cacao', 'Dr. Oetker Baksoda', 'AH Doperwten 0% zout', 'AH Natuurazijn wit', 'AH Muffin vanille', 'AH Slaolie', 'AH Kokoswater']","[709.764, 473.176, 118.294, 985.784, 492.892, 985.784, 985.784, 157.7253333333333, 473.176]",28.553634849568624
2364,2372,Spinach Dip,"['1.0 pkg. knorr vegetable soup mix', '1.0 pkg. frozen spinach, cooked and drained', '1.0 can water chestnuts, drained and sliced', '0.5 small onion, chopped or dehydrated onions use your own judgement', '236.588 ml sour cream', '236.588 ml mayonnaise']","[""vegetable soup"", ""frozen spinach"", ""water chestnuts"", ""onion"", ""sour cream"", ""mayonnaise""]","['soup', 'spinach', 'chestnut', 'onion', 'cream', 'mayonnaise']","['AH Erwtensoep', 'Iglo Bladspinazie', 'AH Kleine kastanjechampignons', 'AH Rode uien', 'AH Roomijsjes', 'AH Pesto mayonaise']","[100.0, 100.0, 100.0, 50.0, 236.588, 236.588]",8.384287173809524
2370,2378,Hobo Supper,"['907.184 grams hamburger', '1.0 large onion', '1.0 large potato', '1.0 green pepper', 'margarine', 'salt', 'pepper']","[""hamburger"", ""onion"", ""potato"", ""green pepper"", ""margarine"", ""salt"", ""pepper""]","['hamburger', 'onion', 'potato', 'pepper', 'margarine', 'salt', 'pepper']","['Borgesius Luxe hamburgerbroodjes', 'AH Rode uien', 'AH Vastkokende aardappel', 'AH Rode peper', 'Becel Light margarine', 'AH Doperwten 0% zout', 'AH Rode peper']","[907.184, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",5.564807690552585
2372,2380,4 Layer Dessert,"['354.882 ml self-rising flour', '1.5 sticks butter, melted', '118.294 ml chopped nuts']","[""flour"", ""butter"", ""nuts""]","['flour', 'butter', 'nuts']","['AH Tarwe bloem', 'AH Kruidenboter', 'AH Walnoten']","[354.882, 150.0, 118.294]",6.823202531799999
2373,2381,Chicken Imperial(8 Servings)  ,"['1.0 large fryer 1814.368 grams or more , cut in 8.0 serving pieces', '1.0 loaf soft white bread', '118.294 ml parmesan cheese', '1.0 clove garlic', '4.92892 ml salt', '2.46446 ml pepper', '78.86266666666666 ml chopped parsley or 29.5736 ml dried', '226.796 grams butter or margarine']","[""fryer"", ""white bread"", ""Parmesan cheese"", ""clove garlic"", ""salt"", ""pepper"", ""parsley"", ""butter""]","['fryer', 'bread', 'cheese', 'garlic', 'salt', 'pepper', 'parsley', 'butter']","['HG Airfryer reiniger', 'AH Flatbread', 'AH Leverkaas', 'AH Verse knoflook', 'AH Doperwten 0% zout', 'AH Rode peper', 'AH Platte peterselie', 'AH Kruidenboter']","[100.0, 100.0, 118.294, 100.0, 492.892, 246.446, 78.86266666666666, 226.796]",17.375017132362277
2374,2382,Pumpkin Pie,"['473.176 ml can pumpkin', '2.0 eggs', '177.441 ml brown sugar, packed', '2.46446 ml salt', '4.92892 ml cinnamon', '2.46446 ml ginger', '2.46446 ml nutmeg', '354.882 ml can evaporated milk', '2.0 unbaked pie crusts']","[""pumpkin"", ""eggs"", ""brown sugar"", ""salt"", ""cinnamon"", ""ginger"", ""nutmeg"", ""milk"", ""unbaked pie crusts""]","['pumpkin', 'eggs', 'sugar', 'salt', 'cinnamon', 'ginger', 'nutmeg', 'milk', 'pie crust']","['AH Hummus pompoen', 'AH Rondeel eieren M L', 'AH Rietsuiker', 'AH Doperwten 0% zout', 'Bolletje Kanelly', 'AH Gemberkoek', 'Verstegen Zakje nootmuskaat heel', 'AH Karnemelk', 'Kuchenmeister Taartbodem']","[473.176, 200.0, 177.441, 246.446, 492.892, 246.446, 246.446, 354.882, 200.0]",18.793052292197526
2380,2388,Chess Squares,"['1.0 box yellow cake mix', '1.0 stick oleo', '4.0 eggs', '236.588 ml cream cheese', '453.592 grams confectioners sugar']","[""yellow cake mix"", ""oleo"", ""eggs"", ""cream cheese"", ""confectioners sugar""]","['cake mix', 'oleo', 'eggs', 'cheese', 'sugar']","['Pannenkoekenmix', 'Napoleon Watermelon', 'AH Rondeel eieren M L', 'AH Leverkaas', 'AH Rietsuiker']","[100.0, 100.0, 400.0, 236.588, 453.592]",8.887149252063493
2383,2391,Hot Chocolate Mix,"['1892.704 ml nonfat dry milk', '236.588 ml powdered sugar', 'pinch of salt', '325.3085 ml nondairy creamer', '680.3879999999999 grams nestle chocolate mix']","[""nonfat dry milk"", ""powdered sugar"", ""salt"", ""nondairy creamer"", ""chocolate mix""]","['milk', 'sugar', 'salt', 'cream', 'mix']","['AH Karnemelk', 'AH Rietsuiker', 'AH Doperwten 0% zout', 'AH Roomijsjes', 'AH Hotmix']","[1892.704, 236.588, 100.0, 325.3085, 680.3879999999999]",14.602750170514703
2384,2392,Alberta'S Hamburger Stew,"['453.592 grams ground beef', '59.147 ml chopped onion', '4.92892 ml salt', 'pepper', '236.588 ml diced potatoes', '236.588 ml diced carrots', '236.588 ml diced celery', '118.294 ml water or liquid from string beans']","[""ground beef"", ""onion"", ""salt"", ""pepper"", ""potatoes"", ""carrots"", ""celery"", ""water""]","['beef', 'onion', 'salt', 'pepper', 'potatoes', 'carrots', 'celery', 'water']","['AH Rosbief', 'AH Rode uien', 'AH Doperwten 0% zout', 'AH Rode peper', 'AH Stamppot aardappelen', 'AH Geschilde bospeen', 'Verstegen Selderijzout', 'AH Kokoswater']","[453.592, 59.147, 492.892, 100.0, 236.588, 236.588, 236.588, 118.294]",27.218492803128914
2388,2396,Cheese Ball,"['473.176 ml pkg. cream cheese', '1.0 large can crushed pineapple, drained', '9.85784 ml finely chopped onion', '59.147 ml chopped green pepper', '236.588 ml chopped pecans']","[""cream cheese"", ""pineapple"", ""onion"", ""green pepper"", ""pecans""]","['cheese', 'pineapple', 'onion', 'pepper', 'pecans']","['AH Leverkaas', 'AH Doosje met ananas', 'AH Rode uien', 'AH Rode peper', 'AH Ongebrande pecannoten']","[473.176, 100.0, 985.784, 59.147, 236.588]",12.616947266666667
2393,2401,Mexican Corn Bread,"['354.882 ml corn meal', '14.7868 ml flour', '14.78676 ml salt', '2.46446 ml soda', '2.0 eggs, beaten', '118.294 ml salad oil', '236.588 ml buttermilk', '1.0 small can creamed corn', '3.0 to 6.0 chopped jalapeno peppers', '0.5 green pepper, chopped', '4.0 to 5.0 green onions, chopped', '354.882 ml grated cheddar cheese']","[""corn meal"", ""flour"", ""salt"", ""soda"", ""eggs"", ""salad oil"", ""buttermilk"", ""corn"", ""jalapeno peppers"", ""green pepper"", ""green onions"", ""Cheddar cheese""]","['meal', 'flour', 'salt', 'soda', 'eggs', 'oil', 'buttermilk', 'corn', 'pepper', 'pepper', 'onion', 'cheese']","['Brinta Havermout', 'AH Tarwe bloem', 'AH Doperwten 0% zout', 'Driehoek Vloeibare soda', 'AH Rondeel eieren M L', 'AH Slaolie', 'Arla Biologisch karnemelk', 'AH Popcorn Zout', 'AH Rode peper', 'AH Rode peper', 'AH Rode uien', 'AH Leverkaas']","[354.882, 1478.6799999999998, 1478.676, 246.446, 200.0, 118.294, 236.588, 100.0, 300.0, 50.0, 400.0, 354.882]",21.528719005903532
2401,2409,Mozzarella Cheese,"['7570.82 ml fresh goat milk', '236.588 ml buttermilk i use meadowbrook dairy buttermilk', '2.0 rennet junket tablets, dissolved in a little cold water', 'salt']","[""fresh goat milk"", ""buttermilk"", ""tablets"", ""salt""]","['milk', 'buttermilk', 'tablets', 'salt']","['AH Karnemelk', 'Arla Biologisch karnemelk', 'Care IJzer tabletten', 'AH Doperwten 0% zout']","[7570.82, 236.588, 200.0, 100.0]",22.839292078431374
2409,2417,Party Mints,"['907.184 grams powdered sugar', '236.588 ml pkg. philadelphia cream cheese', 'oil flavoring of choice', 'food coloring of choice']","[""powdered sugar"", ""Philadelphia cream cheese"", ""oil"", ""choice""]","['sugar', 'cream cheese', 'oil', 'choice']","['AH Rietsuiker', 'AH Zachte kruiden roomkaas', 'AH Slaolie', 'AH Tonijnsalade bewuste keuze']","[907.184, 236.588, 100.0, 100.0]",9.679382491428571
2414,2422,Sweet Potato Pie,"['3.0 eggs', '118.294 ml sugar', '118.294 ml brown sugar', '14.7868 ml flour', '1.0 stick melted margarine', '473.176 ml grated raw potatoes', '1.23223 ml salt', '4.92892 ml nutmeg', '4.92892 ml cinnamon', '4.92892 ml vanilla', '236.588 ml sweet milk']","[""eggs"", ""sugar"", ""brown sugar"", ""flour"", ""margarine"", ""potatoes"", ""salt"", ""nutmeg"", ""cinnamon"", ""vanilla"", ""sweet milk""]","['eggs', 'sugar', 'sugar', 'flour', 'margarine', 'potatoes', 'salt', 'nutmeg', 'cinnamon', 'vanilla', 'milk']","['AH Rondeel eieren M L', 'AH Rietsuiker', 'AH Rietsuiker', 'AH Tarwe bloem', 'Becel Light margarine', 'AH Stamppot aardappelen', 'AH Doperwten 0% zout', 'Verstegen Zakje nootmuskaat heel', 'Bolletje Kanelly', 'AH Muffin vanille', 'AH Karnemelk']","[300.0, 118.294, 118.294, 1478.6799999999998, 100.0, 473.176, 123.223, 492.892, 492.892, 492.892, 236.588]",15.526174006894319
2415,2423,Egg And Cheese Brunch Dish,"['2.5 jars kraft old english cheese spread', '1.5 sticks butter', '4.92892 ml dry mustard', '12.0 slices bread', '8.0 eggs', '828.058 ml milk', '1.0 can cubed chunky ham or 453.592 grams cooled drained pork sausage']","[""English cheese spread"", ""butter"", ""dry mustard"", ""bread"", ""eggs"", ""milk"", ""ham""]","['cheese spread', 'butter', 'mustard', 'bread', 'eggs', 'milk', 'ham']","['AH Smeerkaas naturel', 'AH Kruidenboter', 'Doesburgsche mosterd', 'AH Flatbread', 'AH Rondeel eieren M L', 'AH Karnemelk', 'AH Achterham']","[250.0, 150.0, 492.892, 1200.0, 800.0, 828.058, 100.0]",27.016263583549783
2416,2424,Favorite Meat Loaf,"['2.0 beaten eggs', '177.441 ml milk', '157.7253333333333 ml seasoned fine italian bread crumbs', '44.3604 ml grated onion', '4.92892 ml salt', '2.46446 ml ground sage', '680.3879999999999 grams ground chuck beef']","[""eggs"", ""milk"", ""Italian bread"", ""onion"", ""salt"", ""ground sage"", ""ground chuck beef""]","['eggs', 'milk', 'bread', 'onion', 'salt', 'sage', 'beef']","['AH Rondeel eieren M L', 'AH Karnemelk', 'AH Flatbread', 'AH Rode uien', 'AH Doperwten 0% zout', 'AH Ossenworst', 'AH Rosbief']","[200.0, 177.441, 157.7253333333333, 44.3604, 492.892, 246.446, 680.3879999999999]",29.48343362149393
2419,2427,Peanut Butter Cookies,"['118.294 ml butter', '118.294 ml peanut butter', '118.294 ml granulated sugar', '118.294 ml brown sugar', '1.0 egg', '2.46446 ml vanilla', '295.735 ml flour', '3.69669 ml baking soda']","[""butter"", ""peanut butter"", ""sugar"", ""brown sugar"", ""egg"", ""vanilla"", ""flour"", ""baking soda""]","['butter', 'butter', 'sugar', 'sugar', 'egg', 'vanilla', 'flour', 'baking soda']","['AH Kruidenboter', 'AH Kruidenboter', 'AH Rietsuiker', 'AH Rietsuiker', 'AH Lasagne ei', 'AH Muffin vanille', 'AH Tarwe bloem', 'Dr. Oetker Baksoda']","[118.294, 118.294, 118.294, 118.294, 100.0, 246.446, 295.735, 369.669]",6.546192903166667
2423,2431,Blueberry Cake,"['473.176 ml blueberries', '532.323 ml sifted flour', '7.39338 ml baking powder', '3.69669 ml salt', '354.882 ml sugar', '177.441 ml butter', '3.0 eggs, separated', '118.294 mlmilk', '7.39338 ml vanilla']","[""blueberries"", ""flour"", ""baking powder"", ""salt"", ""sugar"", ""butter"", ""eggs"", ""c.milk"", ""vanilla""]","['blueberries', 'flour', 'baking powder', 'salt', 'sugar', 'butter', 'eggs', 'c.milk', 'vanilla']","['AH Doosje met blauwe bessen', 'AH Tarwe bloem', 'Smaakt Wijnsteenbakpoeder', 'AH Doperwten 0% zout', 'AH Rietsuiker', 'AH Kruidenboter', 'AH Rondeel eieren M L', 'AH Choco chip double choc milk dark cookies', 'AH Muffin vanille']","[473.176, 532.323, 739.338, 369.669, 354.882, 177.441, 300.0, 118.294, 739.338]",34.064957794590754
